words	gend_m
doctrine	4.968
document	4.364
dodgy	4.758
dog	4.606
dogma	4.852
dole	4.654
doll	1.677
dollar	5.171
dolls	1.914
dolphin	2.909
dome	4.233
dominate	5.657
donkey	4.857
doom	4.767
doomed	4.818
door	4.265
doorman	6.444
dope	4.879
dope (drugs)	5.382
dope (idiot)	4.912
dopey	4.853
dose	4.147
doubt	3.794
dough	3.943
dough (baking)	2.912
dough (money)	5.353
dove	2.647
dove (bird)	2.143
dove (dive)	4.219
down	4.088
down (direction)	4.636
down (fur)	3.412
down (sad)	4.031
drab	4.177
draft	4.156
draft (breeze)	3.576
draft (first version)	4.147
drag	4.486
dragon	5.387
drama	2.529
draught	4.36
draw	3.636
draw (artistic)	3.206
draw (attract)	3.343
draw (choose)	3.971
draw (tie)	4.485
drawers	3.571
drawing	3.324
dread	4.379
dream	3.094
dreams	3.03
dreary	3.829
dress	1.472
dress (formal)	2.375
dress (put on clothes)	2.588
dress (skirt)	1.529
dressed	3.156
dresser	2.229
drift	4.412
drifter	4.829
drifting	4.091
drill	5.529
drill (practice)	5.088
drill (tool)	6
drive	4.879
drive (car)	5.029
drive (motivation)	4.588
drop	4.364
drop (fall)	4.125
drop (rain)	3.088
dropped	4.25
drought	4.697
drown	4.324
drug	4.765
drugged	5.091
drum	5.387
drummer	5.571
drums	5.172
drunk	5.029
dubious	4.258
duck	3.971
duck (bird)	3.697
duck (cricket)	5.419
duck (crouch)	4.706
duet	3.5
duke	6.486
dull	4.75
dumb	4.613
dummy	4.212
dummy (idiot)	4.706
dummy (mannequin)	3.235
dummy (nipple)	2.559
dump	4.735
dune	4.103
dung	4.758
dungeon	5.353
durable	4.794
dusk	3.818
dust	3.771
dustbin	4.656
duster	3.303
dustpan	3.758
dusty	3.767
duty	4.471
duvet	3.143
dwarf	4.567
dwell	3.786
dye	3.091
dying	4.061
dynamite	5.194
dynasty	4.742
eager	3.531
eagle	5.576
ear	3.912
earn	4.886
earphones	4.212
earth	3.5
earthquake	4.667
ease	3.286
easy	3.4
easygoing	3.818
eat	4
eatery	3.912
eccentric	4.419
economic	4.69
economy	4.903
ecstasy	4.182
ecstatic	3.727
edge	4.583
edifice	4.125
edit	4.152
edition	4
editor	4.485
educate	3.515
education	3.758
eel	4.529
eerie	4.394
efficient	3.677
effort	3.636
egg	3.559
ego	6
elaborate	3.412
elated	3.355
elation	3.29
elbow	4.065
elder	4.645
eldest	4.633
electric	4.719
electrician	5.788
electricity	4.6
electronic	5.182
elegant	1.588
elephant	4.516
elevator	4.371
elf	4.182
elite	4.242
elitist	4.457
elk	4.533
elm	3.182
elude	3.606
emancipation	3.667
embarrass	3.914
embarrassment	3.441
embezzle	4.548
