words	gend_m
troubling	4.606
trousers	5.912
trout	5.143
truce	4.242
truck	5.75
TRUE	3.182
trumpet	4.647
truncheon	5.391
trunk	4.559
trunk (elephant)	4.714
trunk (luggage)	4.265
trunk (tree/body)	4.941
trust	3.147
trustee	4.088
trustworthy	3.063
truth	3.343
tsunami	4.588
tube	4.727
tubular	4.276
tulip	2.143
tumble	4.091
tumbler	3.794
tumour	4.31
tune	3.767
turf	5.039
turtle	4.088
TV	4.629
tweed	4.655
tweet	3.091
tweet (bird)	3.059
tweet (Twitter)	3.829
tweezers	2.743
twig	4.059
twilight	2.849
twin	3.735
twins	3.529
Twitter	3.829
type	3.909
type (category)	4.118
type (typeface)	4.219
typewriter	3.813
typhoon	4.844
tyranny	5.839
tyrant	5.938
tyre	5.706
ugly	4.177
ulcer	4.265
umbrella	3.059
unbelievable	4.353
uncle	6.742
uncomfortable	4
under	3.786
underworld	4.867
undesirable	4.121
uneasy	4.057
unfaithful	4.879
unhappy	3.971
unicorn	2.177
unify	3.759
unique	3.533
unit	4.543
unit (item)	4.25
unit (measure)	4.424
unite	3.485
universal	4
universe	4.735
university	3.971
unsuccessful	4.324
untroubled	4.294
unusual	4.171
up	4.029
upgrade	4.419
upheld	4.212
uphold	4.286
upkeep	3.235
uplift	4.029
uplifting	3.235
upset	2.861
upset (sad)	3.091
upset (unbalance)	3.909
upset (unlikely victory)	4.25
upward	3.969
urban	4.714
urge	4.529
urgent	4.138
urine	4.686
use	4.143
used	3.97
useful	3.686
useless	4.182
usher	5.114
usual	3.844
utensil	3.543
vacant	4.152
vacation	3.5
vaccinate	4.424
vaccination	4
vaccine	3.742
vacuum	3.414
vagina	1.281
vague	3.897
vain	3.686
valentine	2.471
valley	3.088
valour	4.897
valuable	3.677
value	3.882
vampire	5.029
van	5.829
vandal	5.618
vanish	3.727
vanity	2.486
vaporize	4.171
vapour	4.118
varied	3.618
various	3.889
varnish	3.625
vary	3.788
vase	2.382
vast	4.563
veal	4.313
vegetable	3.588
vehicle	5.097
veil	2.257
vein	4.177
veins	4.103
velocity	4.5
venom	4.515
venture	4.457
verb	4.097
verbal	3.857
verge	4.242
verse	3.618
verse (poetry)	3.273
verse (stanza)	3.412
version	3.844
versus	4.576
vessel	4.469
vest	4.686
vestibule	4.261
vet	3.758
vet (investigate)	4.281
vet (veteran)	5.086
vet (veterinarian)	3.429
vicar	5.938
vicious	4.645
victim	3.2
victory	5.294
video	4.367
vigilance	5
vigilant	4.273
vigorous	5.361
vigour	5
vile	4.633
village	3.635
vinegar	4.516
viola	2.824
violate	4.719
violation	4.471
violence	5.765
violent	5.647
violet	2.618
violin	3.138
virgin	2.6
virile	5.172
virtue	2.8
virtuous	2.679
virus	4.543
visa	3.906
vision	3.625
vision (dream)	3.194
vision (sight)	3.714
visit	3.647
vitamin	3.118
vivid	3.118
vocation	4.412
vodka	3.706
voice	3.455
void	4.235
volcano	5
vole	4.233
volume	4.233
volume (amount)	4.438
volume (loudness)	4.657
voluminous	2.75
vomit	4.735
vote	4.324
voter	4.514
vow	3.571
vowel	3.688
vows	2.853
voyage	4.5
voyager	5.029
vulgar	5.061
vulture	4.8
wagon	4.936
waist	2.182
waistcoat	5.765
wait	3.794
waiter	5.735
waitress	1.333
wake	4.1
wake (awake)	3.943
wake (funeral)	4.032
wake (ship)	4.882
wall	4.613
wallet	5.903
walnut	4.118
walrus	5.219
waltz	2.613
wand	3.5
wank	6.5
wanker	6.485
war	6.147
warble	3.52
ward	3.914
ward (child)	3.429
ward (hospital)	3.424
wardrobe	2.824
warehouse	5.286
warm	2.914
warmth	2.333
warn	4.486
warning	5.059
warrant	4.625
warrant (justify)	4.618
warrant (search)	5.556
wart	4.849
wasp	4.235
waste	4.667
wasteful	4.692
watch	4.406
watch (look)	3.794
watch (wrist)	4.794
water	3.886
waterfall	2.912
wave	3.618
wave (gesture)	3.485
wave (water)	3.429
weak	3.469
weakness	3.485
wealth	4.647
wealthy	4.8
weapon	5.939
weary	3.543
weasel	4.818
weave	2.588
web	3.909
web (internet)	4.686
web (spider)	4.265
wed	3.353
wedding	2.235
wee	3.886
week	3.963
weekend	3.871
weigh	3.433
weight	3.771
weird	4.485
weirdo	5.029
welcome	3.257
welfare	3.824
well	3.818
well (healthy)	3.5
well (water)	3.938
wench	3.125
whale	4.441
whalebone	4.429
wharf	4.591
wheat	4
wheel	4.6
wheelbarrow	5.273
which	3.853
whiff	4.177
whimper	3.161
whine	3.314
whip	4.267
whisker	3.156
whisky	5.6
whisper	2.897
whistle	4.576
white	3.5
whole	4.152
wholesale	4
wholesaler	4.697
whore	1.867
wicked	3.371
wife	1.546
wiggle	2.857
wigwam	4.29
wild	4.343
wildebeest	5.156
wilderness	4.714
wilds	4.394
wilt	3.667
win	4.429
wind	3.939
wind (breeze)	3.6
wind (wrap around)	3.697
windmill	4.206
window	3.824
wine	2.472
wing	3.364
wing (building)	4.559
wing (improvise)	4.529
wing (plane)	4.273
wink	4.229
winner	4.618
winter	3.857
wiped	4.069
wire	4.824
wired	4.515
wired (electric)	4.909
wired (hyper)	4.235
wisdom	3.656
wise	4.414
wish	3.25
wistful	3.516
wit	4.533
witch	1.906
withdraw	4.061
wither	3.839
witty	3.794
wizard	6.091
woe	3.63
wolf	5.333
woman	1.314
womb	1.235
women	1.114
wonder	3.448
wonderful	2.966
wonky	4.382
wood	5.235
wood (forest)	4.618
wood (lumber)	5.486
woods	4.6
wool	2.636
word	4.114
words	3.9
work	4.882
workhouse	5.03
world	4.061
worm	4.813
worn	4
worried	2.861
worry	2.909
worse	4.688
worship	3.71
worst	4.529
worth	4
worthy	4.063
wound	5.118
wound (cut)	4.543
wound (wrap around)	3.697
wrap	3.588
wrapper	4.091
wrath	4.867
wreck	4.8
wrench	5.032
wrestle	5.857
wrestler	6.394
wrestling	5.914
wrist	3.515
write	3.588
writer	3.844
wrong	4.625
yacht	4.824
yak	4.71
yak (animal)	4.5
yak (gab)	3.192
yard	4.457
yard (distance)	4.771
yard (lawn)	4.429
yarn	2.813
yarn (fabric)	2.857
yarn (tale)	3.636
yeast	3.382
yellow	3.086
yeti	5.588
yield	4.406
yo-yo	4.206
yoga	2.147
yolk	3.586
young	3.161
youth	3.742
youthful	2.897
zeal	3.909
zebra	4.129
zephyr	4.467
zeppelin	5.269
zero	4.172
zest	3.452
zoo	4.059
zoology	3.657
